,id_serie,rep,id_model,output,sMAPE,MAE,MAPE
16974,39,0,ets,3,0.031530198,291.7094352,0.061364252
16975,39,0,theta,3,0.013475577,125.5491964,0.025677119
16976,39,0,arima,3,0.028875487,266.0796901,0.055151194
16977,39,1,ets,3,0.032587128,295.1633589,0.066302122
16978,39,1,theta,3,0.035184838,316.5771405,0.07027264
16979,39,1,arima,3,0.021485455,191.959813,0.04218262
16980,39,2,ets,3,0.030788358,290.811224,0.064651426
16981,39,2,theta,3,0.018134486,168.1181324,0.036615565
16982,39,2,arima,3,0.024831774,230.6459815,0.050277092
16983,39,0,ets,12,0.046799364,438.887056,0.10352781
16984,39,0,theta,12,0.035936276,332.3562511,0.078424084
16985,39,0,arima,12,0.040873561,381.0666071,0.090848214
16986,39,1,ets,12,0.051005984,478.4278064,0.090403706
16987,39,1,theta,12,0.052771575,492.2809873,0.092987402
16988,39,1,arima,12,0.043104765,407.7362173,0.076756573
16989,39,2,ets,12,0.02738976,244.667726,0.053997089
16990,39,2,theta,12,0.027474797,244.8035515,0.053439853
16991,39,2,arima,12,0.021366985,191.6531614,0.042103532
16848,45,0,ets,3,0.052500281,361.3299661,0.104390149
16849,45,0,theta,3,0.058328966,400.0235882,0.115200907
16850,45,0,arima,3,0.037117071,258.3623178,0.076135297
16851,45,1,ets,3,0.060811707,375.8907871,0.108468543
16852,45,1,theta,3,0.059362539,366.3791836,0.105250553
16853,45,1,arima,3,0.062691663,392.0948765,0.115922823
16854,45,2,ets,3,0.067311486,428.2045662,0.148033844
16855,45,2,theta,3,0.069129423,440.628287,0.152671784
16856,45,2,arima,3,0.050016114,312.3866404,0.107871736
16857,45,0,ets,12,0.041999362,279.6994849,0.088875784
16858,45,0,theta,12,0.043122276,285.6332767,0.089751189
16859,45,0,arima,12,0.036444853,238.8602478,0.073431555
16860,45,1,ets,12,0.095818713,558.1605585,0.165838825
16861,45,1,theta,12,0.092443048,540.1606908,0.160692911
16862,45,1,arima,12,0.097242031,565.7168419,0.168458952
16863,45,2,ets,12,0.052321949,305.9990274,0.097316919
16864,45,2,theta,12,0.051493739,301.0202169,0.09573668
16865,45,2,arima,12,0.048697433,283.6415457,0.088829446
15876,99,0,ets,3,0.005241684,24.28532236,0.010424152
15877,99,0,theta,3,0.001635149,7.607376751,0.003264548
15878,99,0,arima,3,0.002215333,10.29488507,0.00441531
15879,99,1,ets,3,0.002308815,10.69271477,0.004624414
15880,99,1,theta,3,0.001415892,6.544414702,0.002821716
15881,99,1,arima,3,0.001209533,5.600857936,0.002422811
15882,99,2,ets,3,0.0034503,15.45840729,0.006911578
15883,99,2,theta,3,0.003189311,14.24503136,0.00631216
15884,99,2,arima,3,0.004175581,18.67493494,0.008311365
15885,99,0,ets,12,0.002981238,13.56760551,0.005948952
15886,99,0,theta,12,0.0087631,39.51748585,0.017131269
15887,99,0,arima,12,0.005674081,25.66994002,0.01112431
15888,99,1,ets,12,0.003945713,17.33798322,0.007949994
15889,99,1,theta,12,0.005733646,25.02247836,0.011249809
15890,99,1,arima,12,0.002994588,13.13215762,0.0059895
15891,99,2,ets,12,0.008515241,36.06221192,0.017048573
15892,99,2,theta,12,0.006912196,29.22532697,0.013746603
15893,99,2,arima,12,0.004521613,19.22019062,0.009230467
14922,109,0,ets,3,0.007916125,38.64144387,0.015707904
14923,109,0,theta,3,0.003889017,19.11913722,0.007772007
14924,109,0,arima,3,0.003461267,16.97069548,0.006898657
14925,109,1,ets,3,0.015202066,72.80820618,0.030245816
14926,109,1,theta,3,0.017847121,84.47927963,0.034377782
14927,109,1,arima,3,0.015485529,73.74219536,0.030259383
14928,109,2,ets,3,0.013534514,63.19529038,0.027440421
14929,109,2,theta,3,0.004492115,20.74118535,0.00900616
14930,109,2,arima,3,0.010535957,49.04535981,0.021296292
14931,109,0,ets,12,0.008162005,38.89448559,0.01659286
14932,109,0,theta,12,0.012420442,58.94234165,0.024898364
14933,109,0,arima,12,0.021199371,98.35437821,0.040767617
14934,109,1,ets,12,0.011152377,47.87390722,0.022517483
14935,109,1,theta,12,0.018203605,77.12486324,0.035969222
14936,109,1,arima,12,0.020778248,90.34050803,0.042232286
14937,109,2,ets,12,0.030398448,107.0417967,0.057998614
14938,109,2,theta,12,0.051889195,178.9839633,0.096578119
14939,109,2,arima,12,0.023652107,83.83485829,0.045145337
11124,111,0,ets,3,0.008670188,31.25826526,0.017492034
11125,111,0,theta,3,0.003666356,13.15177448,0.007359695
11126,111,0,arima,3,0.010298191,37.18871231,0.020810695
11127,111,1,ets,3,0.002729751,9.780953392,0.005473393
11128,111,1,theta,3,0.00304333,10.91006494,0.006105241
11129,111,1,arima,3,0.001594328,5.689057203,0.00318358
11130,111,2,ets,3,0.007640412,26.19562909,0.014729169
11131,111,2,theta,3,0.012067892,41.18547866,0.023258741
11132,111,2,arima,3,0.008612134,29.49232,0.016614432
11133,111,0,ets,12,0.040018619,134.483241,0.076605805
11134,111,0,theta,12,0.038956897,131.0490905,0.074318822
11135,111,0,arima,12,0.033241153,112.4401867,0.063917813
11136,111,1,ets,12,0.020202485,61.7736717,0.039643893
11137,111,1,theta,12,0.021299752,65.0588395,0.041695892
11138,111,1,arima,12,0.012923907,39.87444507,0.025621289
11139,111,2,ets,12,0.016738902,45.86682149,0.032500075
11140,111,2,theta,12,0.015999277,43.90572547,0.030821924
11141,111,2,arima,12,0.010356224,28.55670045,0.020044277
12366,133,0,ets,3,0.003065918,4.561610689,0.006143331
12367,133,0,theta,3,0.032438352,46.62604179,0.062811507
12368,133,0,arima,3,0.00588918,8.689209181,0.011699734
12369,133,1,ets,3,0.037333063,56.15470233,0.078194646
12370,133,1,theta,3,0.011214955,16.18781182,0.022381935
12371,133,1,arima,3,0.022193826,31.43890979,0.043031465
12372,133,2,ets,3,0.075365178,93.81822462,0.135073831
12373,133,2,theta,3,0.063539465,79.97649933,0.114500805
12374,133,2,arima,3,0.076432523,95.05256298,0.136836104
12375,133,0,ets,12,0.091813318,116.4056409,0.163491834
12376,133,0,theta,12,0.04483272,61.81578443,0.09581199
12377,133,0,arima,12,0.2011215,229.644113,0.318121185
12378,133,1,ets,12,0.087625604,138.1938649,0.168518787
12379,133,1,theta,12,0.12218755,234.242841,0.288515034
12380,133,1,arima,12,0.068251549,108.9297143,0.130720761
12381,133,2,ets,12,0.03968633,112.0176199,0.095645521
12382,133,2,theta,12,0.04806402,137.1835341,0.111691035
12383,133,2,arima,12,0.02911919,80.5,0.068907792
14202,143,0,ets,3,0.052521863,190.4886412,0.099579122
14203,143,0,theta,3,0.049785911,181.0363574,0.094671666
14204,143,0,arima,3,0.050806981,184.56975,0.096418705
14205,143,1,ets,3,0.025764585,94.78366968,0.054549713
14206,143,1,theta,3,0.024299419,89.09488328,0.051122102
14207,143,1,arima,3,0.026728921,97.79427993,0.055844626
14208,143,2,ets,3,0.006892201,25.79810046,0.014071831
14209,143,2,theta,3,0.006933799,25.91599874,0.014094511
14210,143,2,arima,3,0.012632396,47.56814729,0.025623146
14211,143,0,ets,12,0.013376926,50.21638064,0.028158517
14212,143,0,theta,12,0.012372301,46.24414224,0.025777626
14213,143,0,arima,12,0.01549604,58.09491906,0.032201069
14214,143,1,ets,12,0.048005299,193.6358981,0.10408019
14215,143,1,theta,12,0.039366793,157.3633768,0.084574975
14216,143,1,arima,12,0.042398908,170.0204918,0.091355999
14217,143,2,ets,12,0.011404644,40.53656981,0.021050668
14218,143,2,theta,12,0.009471195,33.56587362,0.016946169
14219,143,2,arima,12,0.010828467,38.45621469,0.019827236
13608,160,0,ets,3,0.009675894,189.1387185,0.018958027
13609,160,0,theta,3,0.010854059,212.3044296,0.021332426
13610,160,0,arima,3,0.009676866,189.4219602,0.019053094
13611,160,1,ets,3,0.021784434,419.5774141,0.042275912
13612,160,1,theta,3,0.018012259,348.2092163,0.035013822
13613,160,1,arima,3,0.014606387,283.3154778,0.028330743
13614,160,2,ets,3,0.005802918,110.587686,0.011734771
13615,160,2,theta,3,0.008527719,162.9615376,0.017234783
13616,160,2,arima,3,0.011706147,224.4195474,0.023778351
13617,160,0,ets,12,0.007955219,153.6920721,0.01565804
13618,160,0,theta,12,0.007442092,143.6699846,0.01459276
13619,160,0,arima,12,0.009305999,180.4756095,0.018554976
13620,160,1,ets,12,0.014653267,292.0451583,0.029881857
13621,160,1,theta,12,0.01704296,340.498421,0.034804415
13622,160,1,arima,12,0.014683869,292.6641512,0.029948123
13623,160,2,ets,12,0.007123273,142.5069414,0.014130885
13624,160,2,theta,12,0.008175217,163.5547182,0.01623677
13625,160,2,arima,12,0.01155527,229.7561289,0.022734242
12402,162,0,ets,3,0.043634195,154.8656614,0.081465599
12403,162,0,theta,3,0.050145043,174.293773,0.090450492
12404,162,0,arima,3,0.047949737,166.8577823,0.086239555
12405,162,1,ets,3,0.041573799,161.3919221,0.088027323
12406,162,1,theta,3,0.057722084,227.9206927,0.123817545
12407,162,1,arima,3,0.018453764,68.57596567,0.037053707
12408,162,2,ets,3,0.13734125,501.9441568,0.238495693
12409,162,2,theta,3,0.137984212,504.0090777,0.239348112
12410,162,2,arima,3,0.120249449,446.1835512,0.211455508
12411,162,0,ets,12,0.165748762,512.329978,0.270251073
12412,162,0,theta,12,0.143650441,452.6037015,0.236581025
12413,162,0,arima,12,0.201940043,605.4023172,0.321161934
12414,162,1,ets,12,0.184672419,823.1797193,0.517692938
12415,162,1,theta,12,0.210006652,966.1273434,0.59315913
12416,162,1,arima,12,0.204833963,936.200575,0.587141189
12417,162,2,ets,12,0.035161426,212.4068318,0.075224858
12418,162,2,theta,12,0.065915445,413.3572729,0.143697931
12419,162,2,arima,12,0.024810807,148.2474152,0.052723015
15390,200,0,ets,3,0.002939779,11.3338329,0.005860057
15391,200,0,theta,3,0.029257604,109.629335,0.056797865
15392,200,0,arima,3,0.014307927,54.40251629,0.028163351
15393,200,1,ets,3,0.019653537,73.33386701,0.03821616
15394,200,1,theta,3,0.012122842,45.3553268,0.023389393
15395,200,1,arima,3,0.029131223,107.1877208,0.055535818
15396,200,2,ets,3,0.039817803,137.3444322,0.075785744
15397,200,2,theta,3,0.044550253,152.9719689,0.084298776
15398,200,2,arima,3,0.032976107,114.4985878,0.062743024
15399,200,0,ets,12,0.04422981,154.6644676,0.08325174
15400,200,0,theta,12,0.036239115,129.6332011,0.07181367
15401,200,0,arima,12,0.060148832,205.8662184,0.110061616
15402,200,1,ets,12,0.027496598,82.08429997,0.053105355
15403,200,1,theta,12,0.046793062,143.2527732,0.096450344
15404,200,1,arima,12,0.029373366,88.06306538,0.057622799
15405,200,2,ets,12,0.022577263,73.08456679,0.047142712
15406,200,2,theta,12,0.043663266,145.1744845,0.092544308
15407,200,2,arima,12,0.032357351,106.5403233,0.06903298
12006,206,0,ets,3,0.001312865,2.82178921,0.002620762
12007,206,0,theta,3,0.001497752,3.219156624,0.002989825
12008,206,0,arima,3,0.000929944,2,0.001858744
12009,206,1,ets,3,0.004909922,10.62486613,0.009876377
12010,206,1,theta,3,0.002814951,6.078639573,0.005651529
12011,206,1,arima,3,0.004663053,10.08814955,0.009376584
12012,206,2,ets,3,0.002384634,5.129039811,0.004750989
12013,206,2,theta,3,0.001298727,2.802717475,0.002604535
12014,206,2,arima,3,0.001391335,2.996124852,0.002773974
12015,206,0,ets,12,0.002091998,4.505569334,0.004199596
12016,206,0,theta,12,0.008119702,17.60436189,0.016373661
12017,206,0,arima,12,0.003240066,6.990411786,0.006513862
12018,206,1,ets,12,0.015772403,35.43497214,0.032321078
12019,206,1,theta,12,0.023842489,54.01145895,0.049256481
12020,206,1,arima,12,0.016901849,38.01550257,0.034677254
12021,206,2,ets,12,0.002671602,6.155061565,0.005313765
12022,206,2,theta,12,0.008275097,19.25538635,0.016717388
12023,206,2,arima,12,0.00244776,5.652617689,0.00489559
6444,261,0,ets,3,0.018881866,58.00499894,0.036564345
