"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","X0","lillie_test","anderson_darling","pearson_test","cramer_test","shapiro_francia","shapiro_test","lift_LRD_test","DN_HistogramMode_5","DN_HistogramMode_10","CO_f1ecac","CO_FirstMin_ac","CO_HistogramAMI_even_2_5","CO_trev_1_num","MD_hrv_classic_pnn40","SB_BinaryStats_mean_longstretch1","SB_TransitionMatrix_3ac_sumdiagcov","PD_PeriodicityWang_th0_01","CO_Embed2_Dist_tau_d_expfit_meandiff","IN_AutoMutualInfoStats_40_gaussian_fmmi","FC_LocalSimple_mean1_tauresrat","DN_OutlierInclude_p_001_mdrmd","DN_OutlierInclude_n_001_mdrmd","SP_Summaries_welch_rect_area_5_1","SB_BinaryStats_diff_longstretch0","SB_MotifThree_quantile_hh","SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","SP_Summaries_welch_rect_centroid","FC_LocalSimple_mean3_stderr","pracma_hs","pracma_hrs","pracma_he","pracma_hal","pracma_ht","hurts_tsf","max_level_shift_tsf","max_var_shift_tsf","max_kl_shift_tsf","alpha_tsf","beta_tsf","gamma_tsf","firstmin_ac_tsf","firstzero_ac_tsf","std1st_der_tsf","spreadrandomlocal_meantaul_tsf","fluctanal_prop_r1_tsf","embed2_incircle_1_tsf","embed2_incircle_2_tsf","ac_9_tsf","firstmin_ac_tsf.1","trev_num_tsf","motiftwo_entro3_tsf","walker_propcross_tsf","std1st_der_tsf.1","histogram_mode_tsf","outlierinclude_mdrmd_tsf","outlierinclude_mdrmd_tsf.1","firstzero_ac_tsf.1","stability_tsf","lumpiness_tsf","crossing_points_tsf","flat_spots_tsf","nonlinearity_tsf","unitroot_kpss_tsf","unitroot_pp_tsf","arch_stat_tsf","acf_features_x_acf1","acf_features_x_acf10","acf_features_seas_acf1","acf_features_diff2x_pacf5","acf_features_x_pacf5","stl_features_nperiods","stl_features_seasonal_period","stl_features_trend","stl_features_spike","stl_features_linearity","stl_features_curvature","stl_features_e_acf1","stl_features_e_acf10","stl_features_seasonal_strength","stl_features_peak","stl_features_trough","adf","kpps_level","kpps_trend","pp","whittle_test","kurtosis_fisher","skewness_fisher"
"1",1,1,"hurst",1,1,"H",1,1,1,0.0118573261367588,0.00212332512108173,0.000392209034643832,0.00280255079365632,0.00014599629003019,0.000208601199461028,0.889095660612218,-0.447780122742697,-0.0962028508339743,2,5,0.0889124856408864,0.438928374100938,0.831325301204819,15,0.0241666666666667,10,0.0967944285889867,3,0.25,-0.297619047619048,0.0476190476190477,0.515961379508288,4,2.07350379199494,0.757575757575758,0.363636363636364,0.589048622548125,1.02987803977506,0.607393815539581,0.739431160360814,0.371195854299981,0.342500893486642,0.56483138059278,0.872465309300195,1040.83333333333,1844185.83676136,5.07239676951982,0.545544891414631,0.000100037597613812,0.000100257719186858,5,4,710.189919085234,2.49,0.757575757575758,0,0,-0.0183013859481428,5,148535250.767846,1.88720740184532,0.265060240963855,710.189919085234,1750,-0.214285714285714,-0.214285714285714,4,0.157307794097307,1.79919441113884,30,4,0.589129427042418,0.201267826190605,-45.2434499295571,0.132321041472515,0.482740182347069,0.43816599868075,0.0659128572797612,0.683231789736565,0.300428461151156,1,12,0.273105731638115,59728737.63533,-1127.09474498925,1068.10999129221,0.285126186476775,0.432759526291614,0.206991269594477,11,7,0.438620664881312,0.1,0.1,0.01,84,-1.37072497107591,1.22027477573967
"2",2,2,"hurst1",2,2,"H1",2,2,2,8.83794053079471e-05,4.10683319073522e-09,6.81291856284439e-22,2.28244230812197e-06,6.28776195112877e-08,8.72196598400323e-09,0.859795941852417,-0.115754247931301,0.828561730937675,2,3,0.0426736848579802,-0.236644131629321,0.710843373493976,7,0.0740740740740741,5,0.0884176330403141,2,0.0454545454545455,-0.392857142857143,0.404761904761905,0.468194743180637,5,2.03084439509761,0.787878787878788,0.606060606060606,0.736310778185156,0.978305171898376,0.726580291778041,0.978425138171822,1.52059369820794,1.40963184933957,0.56483138059278,0.801497242822993,3030.79166666667,13088415.9090909,1.93295167356963,0.159540531577635,0.000101634600468123,0.00927298004289345,3,22,2694.08218356154,1.74,0.787878787878788,0,0,0.246400982980808,3,-3705605439.75904,1.99681880068542,0.36144578313253,2694.08218356154,5000,0,0,22,0.388186136506227,0.578087744501362,35,8,0.84176107705818,1.19614194226535,-47.7402329008402,0.0121795476921101,0.4256987478808,0.834362623496771,0.290545329071952,0.871959478978067,0.248611616337962,1,12,0.465724794168527,8859247496.72465,-11157.7248329466,-729.929174034727,0.00322213834896347,0.116191530118142,0.244611010644541,2,4,0.561812633175643,0.01,0.1,0.01,84,-1.45780636663077,1.19313663167851
"3",3,3,"hurst2",3,3,"H2",3,3,3,1.10716674330583e-24,5.58088641692074e-19,8.11627463100209e-32,7.37e-10,3.63970232595685e-08,1.77580902983697e-09,0.810531746336598,-0.769012070719324,-0.601904856338005,15,34,0.805489074030556,-0.0337369292216337,0.626506024096386,25,0.166666666666667,6,0.350801197809645,5,0.0357142857142857,-0.773809523809524,0.404761904761905,0.888264293988175,5,1.1378978472721,0.818181818181818,0.212121212121212,0.0490873852123438,0.383794629897519,0.808068001563521,1.11806368939902,1.39310444538645,1.32396089615442,0.56483138059278,0.990947697495206,2437.58333333333,2269266.45454545,2.28000090228554,0.319059997029104,0.000100006291494821,0.000100140522275939,34,28,929.048691789689,2.13,0.818181818181818,0,0,0.552725909504899,34,-284155915.768072,0.911354471427436,0.240963855421687,929.048691789689,4750,-0.714285714285714,-0.714285714285714,28,1.00717235483152,0.0418090283293202,3,23,0.52320777231709,1.80150897468162,-5.80103460558314,0.302953933715133,0.873790276335825,4.93610702676592,0.423662916269133,0.942920357799539,0.933325745166978,1,12,0.919098843219658,62067173.2907913,-15766.7498669878,7168.68319707479,-0.0475682312796727,0.219998877451383,0.191070419303652,4,3,0.970556460463805,0.01,0.01,0.01,84,-1.5576710504946,1.18115054935426
"4",4,4,"hurst3",4,4,"H3",4,4,4,9.64528258063111e-08,1.26214974587051e-12,3.50745087874622e-24,1.17229794136411e-08,1.07948986347676e-06,1.38447419330652e-07,0.740887086784308,-0.891549549772841,-1.1117517663378,7,1,0.34081313161076,-0.257715838184162,0.771084337349398,14,0.166666666666667,3,0.123477734718142,2,0.03125,-0.488095238095238,0.452380952380952,0.660839142474544,3,2.06321645204396,0.757575757575758,0.757575757575758,0.196349540849375,0.749314444644881,0.785713934715545,1.10298510280889,2.12995881672232,1.97610846413179,0.56483138059278,0.882263487998249,4250.125,5563923.56818182,3.34595700816879,0.256388818059646,0.00010000819375449,0.000100114166008885,1,32,2273.93819276075,1.64,0.757575757575758,0,0,0.369487599897447,1,-3800645208.73494,1.5254606535454,0.253012048192771,2273.93819276075,4500,-0.0238095238095238,-0.0238095238095238,32,0.622387577886488,0.108002768268645,19,6,1.15272451795767,1.59955614575648,-33.9531323812419,0.0987775103382018,0.55945309129036,2.2401472993918,0.288925381005505,1.05793525203659,0.55816484057076,1,12,0.684554864671645,1605108332.14574,-15415.242840004,1019.30203325373,-0.195285746167142,0.096519434336376,0.194831743957345,8,9,0.441044863290683,0.01,0.1,0.01,84,-1.58643614172542,1.17545303503767
"5",5,5,"hurst4",5,5,"H4",5,5,5,1.11440901708526e-06,1.09681458169572e-10,2.01962374259688e-26,6.93002408979282e-08,5.16410106134858e-07,1.16765450659923e-07,0.930478668654417,1.07775164596234,0.767706846093926,8,3,0.28897786991734,0.341338408375079,0.63855421686747,26,0.0740740740740741,3,0.106373685758356,2,0.04,-0.619047619047619,0.321428571428571,0.638593520620874,5,1.62452585311657,0.181818181818182,0.515151515151515,0.0981747704246875,0.831086449946507,0.746501981065809,1.01103212258841,1.27287889967237,1.19484264618012,0.56483138059278,0.891714220918952,3305.54166666667,6895317.08522727,2.30044545395103,0.314121963558823,0.000892496111622813,0.000100022073681782,3,25,2572.28572640887,2.3,0.181818181818182,0,0,0.390846191327515,3,7738435720.78313,1.76710038053016,0.228915662650602,2572.28572640887,9000,0,0,25,0.599282828873498,0.0493959472461104,19,11,0.202981545678029,1.18762236151187,-30.4356288279484,0.563570391292471,0.585489460625207,2.01475464538896,0.284310781635423,0.933024908219185,0.527593634387332,1,12,0.638347882915327,2985783591.64676,-13600.0618231057,8355.37720119007,0.024722721323688,0.152528198087782,0.263017863324975,12,3,0.954917036825926,0.01,0.01,0.01,84,-1.46020686609431,1.20195262125762
"6",6,6,"hurst5",6,6,"H5",6,6,6,1.23407996743395e-06,1.70842597592932e-08,7.32351827337429e-19,3.46990885755866e-06,3.85003938153009e-06,5.32783071906334e-07,0.708217258610493,0.726564655851074,0.926443582076389,16,1,0.399781042295444,-0.197405711103159,0.807228915662651,33,0.166666666666667,3,0.145385364333365,2,0.0333333333333333,-0.892857142857143,0.583333333333333,0.659146283212593,3,1.54649309636312,0.303030303030303,0.818181818181818,0.0490873852123438,0.666891662390047,0.781817962769561,1.15566877789445,1.67962822276025,1.57589772607571,0.56483138059278,0.910927634845469,1929.16666666667,4176192.34090909,0.596536431868425,0.000117001369537436,0.000100073293231309,0.000159949712147406,1,30,2151.01535407868,1.43,0.303030303030303,0,0,0.467448856866246,1,-3090072740.96386,1.53796655219723,0.385542168674699,2151.01535407868,9500,-0.892857142857143,-0.892857142857143,30,0.746009481557884,0.0774447391479948,19,7,0.182812097349897,2.03823356975035,-29.3883053782566,0.336988627632689,0.584483562862456,2.73244440148923,0.390160564460022,1.09708111830772,0.584170521924803,1,12,0.733551319422953,898406538.006051,-18267.8429931945,1750.65692240511,-0.183360786919319,0.167569571817036,0.209985757790825,7,10,0.425925443733206,0.01,0.1,0.01,84,-1.64320851495183,1.15395367903583
"7",7,7,"hurst6",7,7,"H6",7,7,7,2.34173250928965e-10,7.02014628683437e-14,8.90009913725946e-09,3.30187282511279e-09,1.69379138843161e-10,7.75952961002906e-12,0.796807181912942,-0.571301353231894,-0.209799931977814,2,2,0.184986192855435,-0.0296480908234524,0.903614457831325,13,0.0277777777777778,2,0.0451308304178441,1,0.0833333333333333,-0.452380952380952,0.547619047619048,0.485589809540069,4,2.06187197458934,0.696969696969697,0.545454545454545,0.638136007760469,0.930856996065417,0.703245748526665,0.936562873579722,0.900058663745187,0.842577729627615,0.56483138059278,0.810385834807359,1488.75,2693390.34090909,6.25887641085149,0.280676052698136,0.000100537805277523,0.00268655904760226,2,12,1020.4336057787,1.96,0.696969696969697,0,0,0.0455027156952473,2,-24666268.5945783,1.76501055932351,0.27710843373494,1020.4336057787,1250,-0.404761904761905,-0.404761904761905,12,0.336125052137566,1.3139165287654,16,5,0.471976591389433,0.85642865388022,-50.7616516684595,0.043898621521555,0.414670135894187,0.590192624622284,-0.0409197942456799,0.855047936777673,0.24850476825377,1,12,0.417996296614343,527425081.398773,-3510.11451453526,-627.029186918785,0.0712076582928661,0.14681540309106,0.105000454593288,3,7,0.271861619987213,0.01,0.1,0.01,84,0.958061186246052,1.66501057568564
"8",8,8,"hurst7",8,8,"H7",8,8,8,7.25487921863869e-10,7.98724854040507e-10,1.31481724295261e-20,3.96938284985865e-08,2.8684505080031e-05,5.37302895893811e-06,0.738924032935014,-0.776599621024365,-0.575885157212587,3,3,0.185937922583487,-0.327440163833415,0.855421686746988,9,0.166666666666667,3,0.0923898394536005,2,0.0357142857142857,-0.55952380952381,0.80952380952381,0.540677551792053,5,1.9461938601028,0.818181818181818,0.545454545454545,0.441786466911094,0.907963177058858,0.737286828111631,1.05764405500911,1.2198939317411,1.14371717948528,0.56483138059278,0.840108774671934,1974.91666666667,4185577.59280303,1.25494503695682,0.0189559473690686,0.00170701397399935,0.000128936965515983,3,28,1898.45047346277,1.92,0.818181818181818,0,0,0.295150861954044,3,-2136305947.53012,1.82392055663448,0.337349397590361,1898.45047346277,4500,-0.357142857142857,-0.357142857142857,28,0.548307337383491,0.126924155233746,23,7,0.244020585464397,1.61556341941999,-41.8633054536439,0.219412912265383,0.473766305497906,1.31954265761022,0.249781781357668,0.939359452096819,0.437966790164177,1,12,0.562240608880762,688361756.486365,-11373.8421178541,348.788740099878,0.0403797223193711,0.217712579480274,0.224210930002239,8,2,0.329078979765094,0.01,0.1,0.01,84,-1.65682212228687,1.15129547004119
"9",9,9,"hurst8",9,9,"H8",9,9,9,4.45916901183969e-15,1.00926945926805e-11,2.00113590588153e-21,6.98613009987271e-08,4.63645901233437e-11,1.91614224863028e-12,0.715109516486267,0.715036762856854,0.283204994546332,1,1,0.0359929897688896,-1.78951093262909,0.807228915662651,12,0.05,4,0.0722419619360704,3,0.125,-0.369047619047619,0.428571428571429,0.245186951778205,3,1.55188012401379,0.818181818181818,0.696969696969697,1.66897109721969,1.0756864672258,0.631498156937778,0.748397842741398,1.25514606244374,1.1331536175193,0.56483138059278,0.591252156180513,3166.66666666667,44913390.1515151,5.51478617606342,0.00367152501134604,0.00367118008252589,0.000100127154179047,1,8,4504.66841960643,1.97,0.818181818181818,0,0,0.200818587373943,1,-57769510081.3253,2.02065595828009,0.373493975903614,4504.66841960643,9000,0.0357142857142858,0.0357142857142858,8,0.189857027956265,2.09047076979674,35,12,0.361235483633947,0.960370551863103,-91.8347546233145,0.00412799252627505,0.00383838193376999,0.142265161270026,0.173590544265034,1.13950113585509,0.0596041385054399,1,12,0.233043953396393,136498789968.207,-10961.7938887798,-2980.22551158335,-0.255048594797065,0.17015819714843,0.156664010468003,6,4,0.498124611202761,0.01,0.1,0.01,84,-0.555377207470999,1.34830081337463
"10",10,10,"hurst9",10,10,"H9",10,10,10,1.12976381596648e-22,6.18746827549399e-20,1.61009507367843e-31,7.37e-10,2.55805915099822e-08,1.48517215502814e-09,0.73307500320607,-0.496202113274793,-0.29424613608081,12,2,0.349184715945313,0.0157448636439266,0.698795180722892,17,0.166666666666667,3,0.254617907761762,1,0.0344827586206897,-0.821428571428571,0.714285714285714,0.777229998800962,5,1.10803931013823,0.515151515151515,0.181818181818182,0.0981747704246875,0.589751041321272,0.762737052565545,1.08604073230874,1.16888782622129,1.10445912880755,0.56483138059278,0.979825589655615,622.083333333333,94376.7045454546,10.7249845479112,0.128283478031791,0.000100092177291496,0.000100126247942564,2,29,239.246801018694,1.67,0.515151515151515,0,0,0.387212087205354,2,889762.048192771,1.22617469994269,0.253012048192771,239.246801018694,900,-0.773809523809524,-0.773809523809524,29,0.847041282082094,0.0866291536956819,11,10,0.308163933375348,1.67817304494862,-11.3584976091478,0.331429093637135,0.772939660963079,3.12280685071703,0.296578068098045,0.876552406455013,0.723225592548715,1,12,0.811465118759866,320134.797400251,-2730.85036379611,1212.22710594365,0.0464214992798202,0.200952777611429,0.137470857065749,4,7,0.442490703653059,0.01,0.01,0.01,84,-1.49753628648927,1.19511177043935
