,id_model,id_serie,input,output,rep,sMAPE,MAE,MAPE
0,0,39,12,12,0,0.045999988,4852.270264,0.089535485
1,1,39,12,12,0,0.143779076,13493.73333,0.246377943
2,2,39,12,12,0,0.035665001,3811.931971,0.072197584
3,0,39,12,3,0,0.054532925,1507.025391,0.106143045
4,1,39,12,3,0,0.15597685,3802.7,0.266609612
5,2,39,12,3,0,0.040466024,1129.884696,0.079595683
6,0,39,12,12,1,0.047837306,5388.007813,0.084889427
7,1,39,12,12,1,0.201099797,19660.73571,0.327819729
8,2,39,12,12,1,0.04898894,5507.774116,0.086012542
9,0,39,12,3,1,0.030368064,816.5673828,0.059508469
10,1,39,12,3,1,0.139559048,3317.5,0.240888602
11,2,39,12,3,1,0.033784865,925.8982716,0.069212769
12,0,39,12,12,2,0.025410654,2773.741504,0.052779066
13,1,39,12,12,2,0.174156828,16064.4,0.292565715
14,2,39,12,12,2,0.029843119,3234.862182,0.060491237
15,0,39,12,3,2,0.037130534,988.6434082,0.072465193
16,1,39,12,3,2,0.154093373,3687.1,0.265708751
17,2,39,12,3,2,0.019545161,535.1123537,0.037662274
0,0,45,12,12,0,0.058469443,4411.935547,0.106504462
1,1,45,12,12,0,0.396338151,51736.65755,1.335213784
2,2,45,12,12,0,0.059022555,4427.210425,0.106380441
3,0,45,12,3,0,0.07068005,1412.665039,0.130057578
4,1,45,12,3,0,0.36363049,11999.69544,1.166874414
5,2,45,12,3,0,0.067130997,1328.007032,0.119140371
6,0,45,12,12,1,0.118715213,8128.597168,0.20587534
7,1,45,12,12,1,0.411222137,53500,1.421347959
8,2,45,12,12,1,0.05929156,4290.993126,0.104528703
9,0,45,12,3,1,0.054084571,1021.885986,0.100710838
10,1,45,12,3,1,0.392971792,12688.45007,1.312901276
11,2,45,12,3,1,0.052540397,995.2632731,0.098046107
12,0,45,12,12,2,0.06892793,4668.221436,0.120741175
13,1,45,12,12,2,0.441677089,56641.19974,1.623393325
14,2,45,12,12,2,0.08024153,5322.58856,0.135757964
15,0,45,12,3,2,0.03677769,674.4423828,0.078548217
16,1,45,12,3,2,0.433121019,13600,1.536176108
17,2,45,12,3,2,0.027662215,504.9356499,0.059099928
0,0,99,12,12,0,0.008367743,455.4302734,0.016596542
1,1,99,12,12,0,0.081463685,4112.009105,0.15044517
2,2,99,12,12,0,0.009809318,535.1092477,0.019616608
3,0,99,12,3,0,0.002340454,32.76162109,0.004696549
4,1,99,12,3,0,0.084341441,1086.775283,0.155559775
5,2,99,12,3,0,0.003300753,46.27151852,0.006629991
6,0,99,12,12,1,0.004340991,227.6442383,0.008618848
7,1,99,12,12,1,0.07623156,3724.583781,0.141675161
8,2,99,12,12,1,0.005628442,295.9445453,0.011240293
9,0,99,12,3,1,0.003824347,52.87055664,0.007619165
10,1,99,12,3,1,0.083671439,1071.504446,0.154415383
11,2,99,12,3,1,0.008808809,121.1776902,0.017447635
12,0,99,12,12,2,0.014818911,743.9460693,0.028837285
13,1,99,12,12,2,0.081962482,3853.324714,0.151351641
14,2,99,12,12,2,0.012166188,612.4615787,0.023773583
15,0,99,12,3,2,0.005318239,71.62431641,0.01073332
16,1,99,12,3,2,0.067792265,852.0377498,0.126844148
17,2,99,12,3,2,0.006220758,83.21633157,0.01231526
0,0,109,12,12,0,0.053292959,2876.007446,0.101162263
1,1,109,12,12,0,0.225893082,10474.17166,0.368555447
2,2,109,12,12,0,0.07460786,3946.425587,0.139020781
3,0,109,12,3,0,0.010751351,157.0019531,0.021273977
4,1,109,12,3,0,0.221089994,2672.438823,0.362119082
5,2,109,12,3,0,0.030703849,439.6886721,0.059578411
6,0,109,12,12,1,0.079786906,3775.108765,0.148070396
7,1,109,12,12,1,0.209233254,8840.086822,0.345876755
8,2,109,12,12,1,0.100570311,4668.613302,0.182944509
9,0,109,12,3,1,0.022219201,314.001709,0.042547664
10,1,109,12,3,1,0.215122074,2557.482538,0.353663829
11,2,109,12,3,1,0.035927429,501.0077208,0.068620915
12,0,109,12,12,2,0.091009562,3632.008789,0.165889728
13,1,109,12,12,2,0.161854148,6065.416751,0.277665974
14,2,109,12,12,2,0.100600285,3979.770383,0.182060585
15,0,109,12,3,2,1.94E-07,0.002685547,3.89E-07
16,1,109,12,3,2,0.205196918,2352.653721,0.340520151
17,2,109,12,3,2,0.021204418,286.9187018,0.041528253
0,0,111,12,12,0,0.05676933,2253.00415,0.106904842
1,1,111,12,12,0,0.152210895,5540.413618,0.263954408
2,2,111,12,12,0,0.064933317,2557.252445,0.121755634
3,0,111,12,3,0,2.73E-07,0.002929688,5.46E-07
4,1,111,12,3,0,0.153572705,1427.397285,0.266255789
5,2,111,12,3,0,0.019771655,207.8815236,0.038776632
6,0,111,12,12,1,0.056491575,2001.630371,0.107024655
7,1,111,12,12,1,0.113405297,3812.819908,0.203737504
8,2,111,12,12,1,0.06775388,2375.358948,0.126977885
9,0,111,12,3,1,0.017074759,180.0020752,0.033576212
10,1,111,12,3,1,0.156432981,1450.386191,0.270543964
11,2,111,12,3,1,0.038038102,392.8993845,0.073288451
12,0,111,12,12,2,0.038938781,1253.01062,0.074509094
13,1,111,12,12,2,0.066041832,2071.129352,0.123429191
14,2,111,12,12,2,0.042909706,1375.533555,0.081906202
15,0,111,12,3,2,0.011124375,114.0025635,0.021434963
16,1,111,12,3,2,0.140944253,1280.048821,0.246680241
17,2,111,12,3,2,0.032312442,324.3412698,0.062337492
0,0,133,12,12,0,0.26227031,5812.589111,0.707671913
1,1,133,12,12,0,0.358179084,9124.395741,1.137573049
2,2,133,12,12,0,0.354549108,8981.129314,1.105283483
3,0,133,12,3,0,0.028602778,123.798584,0.055625316
4,1,133,12,3,0,0.310736838,2007.071438,0.901651219
5,2,133,12,3,0,0.055219629,232.9730988,0.104663587
6,0,133,12,12,1,0.248782348,6687.689941,0.669849562
7,1,133,12,12,1,0.267519251,7375.325227,0.745083187
